Codigo Produto,Descrição,Valor_unitário,Código de Barras,Sku,Fornecedor,Data Emissão,NCM,Marca,Peso,Url Imagem,Largura,Altura,Comprimento,Categoria,GTIN_Válido,Preço Final,Taxas,Lucro,Tipo Taxa,Url_Imagem1.0,Url_Imagem2.0,Url_Imagem3.0,Url Cloudinary
136410,SILICONE ACETICO 253G BRANCO BARONE,10.88,0751320484697,0751320484697,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2025-02-19 04:15:00,32141010,BARONE,0.323,https://cdn.construdigi.com.br/produtos/136410/136410.jpg,5.0,24.0,5.0,SELANTES E SILICONES,True,19.96,7.99,1.09,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692309/imagens_otimizadas_marketplace/img_temp.jpg"
136400,COLA BR 1KG UNIV BARONE,11.739,0751320539885,0751320539885,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2024-10-09 02:52:00,35061090,BARONE,1.109,https://cdn.construdigi.com.br/produtos/136400/136400.jpg,8.5,35.0,8.5,COLAS E ADESIVOS,True,21.14,8.23,1.17,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692310/imagens_otimizadas_marketplace/img_temp.jpg"
136401,COLA BR 500G UNIV BARONE,6.319,0751320539892,0751320539892,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2024-10-09 02:52:00,35061090,BARONE,0.55,https://cdn.construdigi.com.br/produtos/136401/136401.jpg,6.0,21.0,6.0,COLAS E ADESIVOS,True,13.69,6.74,0.63,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692310/imagens_otimizadas_marketplace/img_temp.jpg"
174144,GRAMPO 1/4 1000PC TRA204T/TR40/TR45 STANLEY,9.969,076174053883,076174053883,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2022-10-21 03:55:00,83052000,STANLEY,0.072,https://cdn.construja.com.br/produtos/174144/174144.jpg,5.0,2.0,5.0,FERRAMENTAS MANUAIS E ACESSÓRIOS,True,18.71,7.74,1.0,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692311/imagens_otimizadas_marketplace/img_temp.jpg"
132210,CURVA LONGA LL 3/4X90 KRONA,3.024,07890001322101,07890001322101,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2021-11-27 00:53:00,39174090,KRONA,0.038,https://cdn.construja.com.br/produtos/132210/132210.jpg,4.0,3.3,4.0,CONEXÕES ÁGUA,True,9.16,5.83,0.3,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692311/imagens_otimizadas_marketplace/img_temp.jpg"
13620,COLA CONTATO 030G S/TOLUOL CASCOLA,9.206,07891200007868,07891200007868,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-10-17 06:00:00,35061090,CASCOLA,0.055,https://cdn.construja.com.br/produtos/13620/13620.jpg,10.0,3.0,10.0,COLAS E ADESIVOS,True,17.66,7.53,0.92,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692312/imagens_otimizadas_marketplace/img_temp.jpg"
149171,ROLO ESPUMA POLIESTER 05 C/G 1341 TIGRE,3.169,07891395000057,07891395000057,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2025-05-27 04:33:00,96034010,TIGRE,0.034,https://cdn.construdigi.com.br/produtos/149171/149171.jpg,7.0,3.24,7.0,DIVERSOS - PINTURA,True,9.36,5.87,0.32,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692312/imagens_otimizadas_marketplace/img_temp.jpg"
149172,ROLO ESPUMA POLIESTER 09 C/G 1341 TIGRE,3.845,07891395000064,07891395000064,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2025-05-27 04:33:00,96034010,TIGRE,0.036,https://cdn.construdigi.com.br/produtos/149172/149172.jpg,4.2,3.35,4.2,DIVERSOS - PINTURA,True,10.29,6.06,0.38,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692312/imagens_otimizadas_marketplace/img_temp.jpg"
137156,GARFO C/BUCHA 1301/230 TIGRE,5.45,07891395001399,07891395001399,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2025-01-07 08:01:00,73269090,TIGRE,0.14,https://cdn.construdigi.com.br/produtos/137156/137156.jpg,24.5,3.8,24.5,DIVERSOS - PINTURA,True,12.49,6.5,0.55,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692316/imagens_otimizadas_marketplace/img_temp.jpg"
137103,TRINCHA 500X11/2 TIGRE,3.136,07891395003188,07891395003188,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2025-03-04 02:44:00,96034090,TIGRE,0.018,https://cdn.construdigi.com.br/produtos/137103/137103.jpg,4.1,0.56,4.1,DIVERSOS - PINTURA,True,9.31,5.86,0.31,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692316/imagens_otimizadas_marketplace/img_temp.jpg"
