arquivo,url_cloudinary
1_ESMALTE_1_4_SINTET._EUCALAR_CZ.ESCURO.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168405/imagens_otimizadas_marketplace/1_ESMALTE_1_4_SINTET._EUCALAR_CZ.ESCURO.jpg"
2_DISCO_DIAM_IRWIN_TURBO_13893.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168407/imagens_otimizadas_marketplace/2_DISCO_DIAM_IRWIN_TURBO_13893.jpg"
2_ESCOVA_ACO_C_CABO_PLAST.ATLAS_1840_3.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168408/imagens_otimizadas_marketplace/2_ESCOVA_ACO_C_CABO_PLAST.ATLAS_1840_3.jpg"
3_CHUMB_ACO_ANCORA_CBA_1_4_X_3_C_PARF_PROL.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168410/imagens_otimizadas_marketplace/3_CHUMB_ACO_ANCORA_CBA_1_4_X_3_C_PARF_PROL.jpg"
1_BROXA_TIGRE_RETANGULAR_PVC_PT_1199_2.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168411/imagens_otimizadas_marketplace/1_BROXA_TIGRE_RETANGULAR_PVC_PT_1199_2.jpg"
1_FECHO_P_CADEADO_INCA_3_DZ.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168412/imagens_otimizadas_marketplace/1_FECHO_P_CADEADO_INCA_3_DZ.jpg"
"3_ENXADA_MAX_2,5_ESTREITA_C_C_45250.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168414/imagens_otimizadas_marketplace/3_ENXADA_MAX_2_5_ESTREITA_C_C_45250.jpg"
"3_BROCA_IRWIN_ACO_RAPIDO___2,5MM.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168414/imagens_otimizadas_marketplace/3_BROCA_IRWIN_ACO_RAPIDO___2_5MM.jpg"
3_RESIST.HYDRA_MEGA_DUCHA_6400W_220.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168415/imagens_otimizadas_marketplace/3_RESIST.HYDRA_MEGA_DUCHA_6400W_220.jpg"
1_NIPLE_PLASTILIT_RR_1_2_X_1_2_BR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1764168416/imagens_otimizadas_marketplace/1_NIPLE_PLASTILIT_RR_1_2_X_1_2_BR.jpg"
