Código;classificacao_marketplace;canal_ml;canal_shopee;tipo_envio_ml_sugerido
149196;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
149200;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00390;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1253;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02225;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
8536;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01203;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
8245;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00426;FORA_LIMITE;NAO;NAO;FORA_ML
13716;FORA_LIMITE;NAO;NAO;FORA_ML
PAI-G02060;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
10112;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02061;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
10127;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01786;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
5996;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01215;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
3834;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01288;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
12495;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00829;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15944;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15959;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15960;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00055;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
190;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01483;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
4881;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
4880;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02145;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
9946;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01704;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180328;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180329;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00915;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
11928;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01289;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
4059;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00568;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1899;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01058;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164515;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00448;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15516;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15522;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15523;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02305;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
14909;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
14910;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
14912;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
14914;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00307;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
14934;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00567;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1879;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1865;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
8168;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
156143;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01886;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
6283;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
6288;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00566;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1848;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00685;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
117164;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01041;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
11707;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01581;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
