Código;classificacao_marketplace;canal_ml;canal_shopee;tipo_envio_ml_sugerido
17341;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02093;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
173150;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00956;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
31145.31.32.039;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00516;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
31339.03.33.042;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00517;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
392560;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00049;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164426;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02144;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164431;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
9956;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00574;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
0069.00000.0020PL;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02020;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
0580.00077.0001CX;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01292;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
435670;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
435740;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00795;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
449850;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00221;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
133291;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02247;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
133298;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00218;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
179922;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00019;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
179957;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01898;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
133260;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01876;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
133270;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
133273;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00220;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
133292;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00219;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
67180;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01299;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
359882;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00633;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
359858;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00185;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
19215;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00191;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
359866;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01819;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
153216;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
153217;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
153218;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
153219;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01881;FORA_LIMITE;NAO;NAO;FORA_ML
296171;FORA_LIMITE;NAO;NAO;FORA_ML
PAI-G01882;VALIDO_AMBOS;SIM;SIM;ML_AGENCIA_COLETA
296163;VALIDO_AMBOS;SIM;SIM;ML_AGENCIA_COLETA
PAI-G00433;FORA_LIMITE;NAO;NAO;FORA_ML
296236;FORA_LIMITE;NAO;NAO;FORA_ML
296155;FORA_LIMITE;NAO;NAO;FORA_ML
PAI-G00145;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164276;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01889;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164280;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01776;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
381802;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00399;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
103142;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01673;SOMENTE_ML;SIM;NAO;ML_AGENCIA_COLETA
341819;SOMENTE_ML;SIM;NAO;ML_AGENCIA_COLETA
341827;SOMENTE_ML;SIM;NAO;ML_AGENCIA_COLETA
PAI-G00187;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
56189;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00189;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
139294;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00636;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
139807;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00373;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
139295;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00396;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
139840;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00086;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180201;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00079;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
345890;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00631;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180295;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180296;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01494;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
368628;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01988;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180335;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02188;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
345482;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02272;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
388560;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02279;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180353;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01172;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180396;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02294;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180364;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00533;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
329118;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00543;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180246;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180247;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
368741;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180352;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00342;FORA_LIMITE;NAO;NAO;FORA_ML
368563;FORA_LIMITE;NAO;NAO;FORA_ML
PAI-G00537;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180380;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180365;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02295;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180366;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180367;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01227;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180303;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01226;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180302;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01448;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180317;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01497;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180324;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180325;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180326;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00529;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180225;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180226;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180227;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180228;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01706;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
355933;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00137;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180378;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00876;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180742;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01746;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
320005;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02293;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180360;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180361;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02292;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180362;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00071;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180374;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00066;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180373;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00630;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180297;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00906;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180301;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00866;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180740;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180741;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00067;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
388570;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02288;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
319988;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01170;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180398;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00527;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180229;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
329177;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01222;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
368571;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00556;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180249;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01260;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180385;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00081;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
335924;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180202;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00069;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
335894;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02181;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180347;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02006;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180342;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02003;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
349135;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
349143;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01231;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
336246;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01435;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180746;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00580;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
336181;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02187;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180350;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00341;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
319759;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01552;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180391;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180392;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180393;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01551;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180394;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00550;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180282;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00549;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180284;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180285;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180274;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180275;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180276;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00358;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
342327;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00524;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180212;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00525;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180214;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00528;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
379387;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
379395;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
379409;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
379417;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01015;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180309;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00006;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180414;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180420;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180412;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180426;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02183;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180748;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180422;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00526;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180213;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02289;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180356;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180357;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180358;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180359;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180355;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00063;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180369;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00065;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180370;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02045;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180481;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01594;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180395;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01529;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
435450;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00292;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
435460;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01811;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180457;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01531;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180453;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180454;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00963;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180774;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00774;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180665;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180664;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180456;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01342;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
57215;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
57223;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01341;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
57045;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
57053;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
57061;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
57070;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
57088;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00475;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
126306;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01835;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
367370;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00457;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
53090;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00458;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
53104;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01133;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
441280;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00337;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
441310;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
441300;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00152;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
149142;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00167;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
427990;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00864;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
223131;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02409;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7898;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00582;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
133825;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00584;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
198560;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
198587;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00603;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13662;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01910;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
339385;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00121;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
181706;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01735;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
120538;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01902;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
120431;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
120539;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01913;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
120423;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00862;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
120520;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
9375;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02032;FORA_LIMITE;NAO;NAO;FORA_ML
120523;FORA_LIMITE;NAO;NAO;FORA_ML
PAI-G00857;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
120522;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00852;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
120535;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00564;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
9376;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01906;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
120537;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01911;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
120543;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01686;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
380070;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
389510;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02390;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7853;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01177;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
18513;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01174;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
47694;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01980;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
185616;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01982;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
352640;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01100;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
368954;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02404;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
366650;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02397;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7868;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
366676;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
425520;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
425510;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02028;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
10097;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
234400;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00612;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
63657;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01561;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
104973;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01389;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
18817;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
18818;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
18821;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
18822;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
18823;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02395;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
354384;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02394;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
354406;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01052;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164514;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01060;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164522;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164523;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164512;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01070;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164518;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164519;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164517;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00769;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15505;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15506;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01818;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
12220;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01817;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
155143;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
155144;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00892;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15558;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15559;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01593;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15518;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00135;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
183679;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02437;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15550;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00514;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1541;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00443;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15524;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00563;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
15504;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01195;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
347701;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
347710;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00446;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
