nome,url_cloudinary
2729_2_PASSA_FIO_PROAQUA_SUPER_C_ALMA_DE_ACO15M.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2729_2_passa_fio_proaqua_super_c_alma_de_aco15m
1777_2_CORDA_POLIESTER_COLOR_12MM_CARRET_105M_F.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1777_2_corda_poliester_color_12mm_carret_105m_f
2005_2_BOTA_PEGA_FORTE_PT_AM_CANO_CURTO_N.41.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2005_2_bota_pega_forte_pt_am_cano_curto_n.41
0919_1_FUNDO_PREPARADOR_ZERO_MOFO_EUCATEX.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/0919_1_fundo_preparador_zero_mofo_eucatex
1_ADAP_CURTO_PLASTILIT_E_1.1_2_MARROM.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_adap_curto_plastilit_e_1.1_2_marrom
2_TESOURA_USO_GERAL_BRASFORT_8.1_4_7629.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2_tesoura_uso_geral_brasfort_8.1_4_7629
0000_1_FITA_DUREX_TRANSP_12X50_3M.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/0000_1_fita_durex_transp_12x50_3m
3796_1_PASSA_FIO_MEGATRON_C_ALMA_DE_ACO_10MT.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/3796_1_passa_fio_megatron_c_alma_de_aco_10mt
1_LUVA_ESGOTO_PLASTILIT__75_X_75_BR.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1_luva_esgoto_plastilit__75_x_75_br
2750_2_GARFO_P_ROLO_23CM_C_BUCHA_COMPEL.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/2750_2_garfo_p_rolo_23cm_c_bucha_compel
1721_1_ELETRODUTO_ZINC_3_4_LEVE_PERFIL_LIDER.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/t_f_auto.q_auto/v1/imagens_otimizadas_marketplace/1721_1_eletroduto_zinc_3_4_leve_perfil_lider
