chave,url_cloudinary
local_3_FILTRO_LINHA_FIOLUX_3_TOM.BIV_PT.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887127/imagens_otimizadas_marketplace/3_filtro_linha_fiolux_3_tom.biv_pt.jpg"
local_3_CAIXA_D_AGUA_POLIETILENO_FORTLEV__310L.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887127/imagens_otimizadas_marketplace/3_caixa_d_agua_polietileno_fortlev__310l.jpg"
local_3_ALICATE_PRESSAO_CURVO_10_MTX.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887127/imagens_otimizadas_marketplace/3_ALICATE_PRESSAO_CURVO_10_MTX.jpg"
local_3_ASSENTO_TIGRE_OVAL_BRANCO.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887127/imagens_otimizadas_marketplace/3_assento_tigre_oval_branco.jpg"
local_3_BARRA_DE_APOIO_ALUM_HIDROLAR__60CM_1060.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887127/imagens_otimizadas_marketplace/3_barra_de_apoio_alum_hidrolar__60cm_1060.jpg"
local_2_PARAF_CHIPBOARD_CHATA_PHS_3.5_X_35_NEW_F.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887127/imagens_otimizadas_marketplace/2_paraf_chipboard_chata_phs_3.5_x_35_new_f.jpg"
local_1_REBOLO_3_4_A46_MEDIO_ICDER.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/1_REBOLO_3_4_A46_MEDIO_ICDER.jpg"
local_1_PARAF_CHIPBOARD_CHATA_PHS_5.0_X_35_NEW_F.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/1_paraf_chipboard_chata_phs_5.0_x_35_new_f.jpg"
local_3_CENTRO_DIST_DISJ_DIN_NEMA_03_04_EMB_BR_B.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/3_CENTRO_DIST_DISJ_DIN_NEMA_03_04_EMB_BR_B.jpg"
local_2_TRINCHA_ROMA_312_B_3_4_BR.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/2_TRINCHA_ROMA_312_B_3_4_BR.jpg"
local_2_NUMERO_COLONIAL_EMAVE_8_DOURADO.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/2_numero_colonial_emave_8_dourado.jpg"
local_1_GRELHA_QUADR.ACO_INOX_15_ROTATORIA_SANY.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/1_GRELHA_QUADR.ACO_INOX_15_ROTATORIA_SANY.jpg"
local_3_CESTINHA_P_VAL.AMER.CR_LUCONI.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/3_cestinha_p_val.amer.cr_luconi.jpg"
local_3_VEDA_ROSCA_3_4X10_TIGRE.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/3_veda_rosca_3_4x10_tigre.jpg"
local_1_PARAF_CHIPBOARD_CHATA_PHS_3.5_X_35_NEW_F.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/1_paraf_chipboard_chata_phs_3.5_x_35_new_f.jpg"
local_2_ODORIZADOR_PURO_AR_LAVANDA_250ML.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/2_odorizador_puro_ar_lavanda_250ml.jpg"
local_3_DISCO_DIAM_IRWIN_SEGMENTADO_13892.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887129/imagens_otimizadas_marketplace/3_disco_diam_irwin_segmentado_13892.jpg"
local_2_LUVA_FORTLEV_LL_B_3_4_MARROM.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887128/imagens_otimizadas_marketplace/2_luva_fortlev_ll_b_3_4_marrom.jpg"
local_2_DESEMP_PVC_CASTOR_CORRUGADA_15X26.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887129/imagens_otimizadas_marketplace/2_DESEMP_PVC_CASTOR_CORRUGADA_15X26.jpg"
local_3_CAVADEIRA_2_CABOS_RAMADA_LIGHT.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887129/imagens_otimizadas_marketplace/3_CAVADEIRA_2_CABOS_RAMADA_LIGHT.jpg"
local_3_DESEMP_ACO_DENT_12X35_PRATICA_CASTOR.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887129/imagens_otimizadas_marketplace/3_DESEMP_ACO_DENT_12X35_PRATICA_CASTOR.jpg"
local_1_FIXADOR_PORTA_P_PISO_0068-01_NI_SOPRANO.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887129/imagens_otimizadas_marketplace/1_FIXADOR_PORTA_P_PISO_0068-01_NI_SOPRANO.jpg"
local_3_OLEO_LUBRIFICANTE_300ML-180G_FERJA.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887129/imagens_otimizadas_marketplace/3_OLEO_LUBRIFICANTE_300ML-180G_FERJA.jpg"
local_1_TESOURA_USO_GERAL_BRASFORT_5.1_2_7627.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887129/imagens_otimizadas_marketplace/1_tesoura_uso_geral_brasfort_5.1_2_7627.jpg"
local_3_BRACO_P_CHUV_ALUM_ALUREM_40CM.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887129/imagens_otimizadas_marketplace/3_braco_p_chuv_alum_alurem_40cm.jpg"
local_2_ESPATULA_LAMIN_C_MAD_08_FERJA.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887130/imagens_otimizadas_marketplace/2_ESPATULA_LAMIN_C_MAD_08_FERJA.jpg"
local_1_REGADOR_METASUL_PLAST_05L_PRETO.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887130/imagens_otimizadas_marketplace/1_regador_metasul_plast_05l_preto.jpg"
local_1_GRAMPEADOR_ACO_4-14MM_TRA204T_TRA20_FERJ.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887130/imagens_otimizadas_marketplace/1_GRAMPEADOR_ACO_4-14MM_TRA204T_TRA20_FERJ.jpg"
