ID,Código,Descrição,classificacao_marketplace,canal_ml,canal_shopee,tipo_envio_ml_sugerido,necessitaMontagem,produtoPersonalizado
16646323124,161131,Medida:1/2;Variação:A,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323125,16125,Medida:3/4;Variação:B,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323128,16130,Medida:3;Variação:G,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339275,PAI-G00016,ABRACADEIRA TIPO U J F METAIS,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339332,369756,Variação:B;Medida:3/4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339333,369780,Variação:E;Medida:1 1/2,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339334,369799,Variação:F;Medida:2,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339336,369810,Variação:H;Medida:3,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339337,369829,Variação:J;Medida:4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646338433,PAI-G00017,ACABAMENTO B IMPERIO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646338537,115,Medida:3/4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646335049,PAI-G00018,ACABAMENTO REGISTRO ARTMETAIS,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646335093,438480,Medida:3/4;Modelo:C33,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646335092,438490,Medida:3/4;Modelo:C40,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646335091,438500,Medida:3/4;Modelo:C50,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646335089,438510,Medida:3/4;Modelo:C52,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323310,PAI-G00019,ACABAMENTO VÁLVULA HIDRA ,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323373,179957,Modelo:4900E MAX;Cor:Cinza,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646338483,PAI-G00020,ACABAMENTO VALVULA  HIGIBAN,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646338608,240648,Acabamento:BRANCO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646338607,240630,Acabamento:CROMADO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334914,PAI-G00022,ACESSORIO PARA CAIXA BLUKIT,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646335003,354180,Tipo:Boia caixa acoplada 253,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646335006,333387,Tipo: Kit Saida 0274,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331821,PAI-G00023,BOLSA VEDAÇÃO P/CX CENSI,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331892,326925,Modelo:9585,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331829,PAI-G00024,KIT SAIDA P/ CX CENSI,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331920,275735,Modelo:9559,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339882,PAI-G00025,ACESSÓRIO PARA CAIXA ROCO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339945,443750,Tipo:CJ Fixação;Modelo:1244,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334715,PAI-G00026,ADAPTADOR FLANGE FORTLEV B,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334792,290440,Medida:3/4;Cor:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334716,PAI-G00027,ADAPTADOR FLANGE FORTLEV C,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334794,290459,Medida:1;Cor:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334717,PAI-G00028,ADAPTADOR FLANGE FORTLEV E,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334796,290467,Medida:1 1/2;Cor:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331054,PAI-G00029,ADAPTADOR FLANGE PLASTILIT B,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331202,399890,Medida:3/4;Variação:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331056,PAI-G00030,ADAPTADOR FLANGE PLASTILIT E,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331204,399920,Medida:1 1/2;Variação:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325911,PAI-G00031,ADAPTADOR COM FLANGE TIGRE,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325980,34762,Cor:MARROM;Medida:1 1/2,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325979,34746,Cor:MARROM;Medida:3/4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334513,PAI-G00032,ADAPTADOR CURTO CORRER PLASTIK,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334575,320412,Medida:1 1/2;Cor:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334714,PAI-G00033,ADAPTADOR CURTO FORTLEV E,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334789,291226,Medida:1 1/2;Cor:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646320028,PAI-G00034,ADAPTADOR CURTO KRONA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646415418,13250,Medida:3/4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331038,PAI-G00036,ADAPTADOR CURTO PLASTILIT E,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331094,399980,Medida:1 1/2;Cor:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646343016,PAI-G00040,ADAPTADOR FÊMEA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646422031,396550,Tipo:ENGATE RÁPIDO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646338699,PAI-G00037,ADAPTADOR FLANGE SOCEL,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646338798,451030,Medida:1 1/2;Cor:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646338797,451000,Medida:3/4;Cor:MARROM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334877,PAI-G00038,ADAPTADOR FORTLEV,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334947,290483,Cor:MARROM;Medida:3/4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325784,PAI-G00039,ADAPTADOR FURADEIRA MAX,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325873,175123,Medida:4 1/2;Modelo:5 7,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646322997,PAI-G00041,ADAPTADOR GARDEN,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323049,417000,Tipo:TANQUE MÁQUINA;Medida:1/2,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325432,PAI-G00042,ADAPTADOR INTERNO PLASBOHN,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325497,353760,Tamanho:1/2;Cor:PRETO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646320236,PAI-G00043,ADAPTADOR KRONA ,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646418023,132339,Medida:1/2;Variação:CURTO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646330320,13255,Medida:11/2,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646330319,13253,Medida:3/4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646320157,PAI-G00044,ADAPTADOR MULTLIT FLANGE ANEL,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646417289,104163,Medida:1 ½,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646417281,104161,Medida:3/4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646340086,PAI-G00045,ADAPTADOR SDS PLUS PRO FERJA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646340180,190811,Tipo:MANDRIL;Medida:1/2,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339565,PAI-G00046,ADAPTADOR TIGRE B,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339618,34789,Cor:MARROM;Variação:CURTO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325620,PAI-G00047,ADESIVO EPOXI COMPOUND ,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325686,11713,Peso:1KG,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325180,PAI-G00048,ADESIVO EPOXI SIKADUR SIKA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325264,164210,Peso:1KG,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323299,PAI-G00049,ADESIVO EPOXI TECBOND ,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323355,164426,Capacidade:1KG,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646330841,PAI-G00050,ADESIVO LAMINACAO CARPLAST,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646330936,163404,Medida:400GR,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331815,PAI-G00051,ADESIVO PARA LAMINACAO IBERE,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331885,353167,Peso:900GR;Modelo:CAT,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646322686,PAI-G00052,ADESIVO PVC AMANCO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646322759,15803,Peso:175G,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646322769,15801,Peso:17G,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646322770,15802,Peso:75G,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646332037,PAI-G00053,ADITIVO DE ADERENCIA SUPERFIX,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646332120,8021013,Medida:1L,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646332124,8021014,"Medida:3,6L",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646332039,PAI-G00054,IMPERMEABILIZANTE IMPERPLUS,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646332122,8021010,Medida:1L,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646332121,8021011,"Medida:3,6L",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319563,PAI-G00055,PLASTIFICANTE  QUARTZOLIT,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319616,190,Medida:1L,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
